Gene	s_log10_ci_low	s_log10_ci_high	s_log10_map	hs_log10_ci_low	hs_log10_ci_high	hs_log10_map	avg_hs_log10_ci_low	avg_hs_log10_ci_high	avg_hs_log10_map
LRCH2	-1.02606557	-7.022e-05	-0.33972432	-1.55675058	-0.07759727	-0.66374622	-1.15561543	-0.06083445	-0.45100722
LUZP4	-5.836984	-1.19080798	-2.12603053	-6.33081087	-1.40087408	-2.47029386	-5.98485907	-1.29625407	-2.23824298
MAGEA11	-5.22442506	-6.084e-05	-0.65175617	-5.75724501	-0.10376153	-1.09902762	-5.37445778	-0.00577539	-0.79357118
MAGEB16	-5.63271747	-0.14884189	-0.91579232	-6.18919044	-0.34917993	-1.41347244	-5.83178737	-0.25335913	-1.02909789
MAGEB18	-5.50731586	-0.34612608	-1.34789118	-6.00305923	-0.64892514	-1.68532605	-5.67032316	-0.48120768	-1.4639947
MAGEB3	-5.52785842	-0.0684168	-0.8053034	-6.0994714	-0.28017396	-1.30766433	-5.74513099	-0.18034877	-0.95335142
MAGEC1	-5.86670534	-1.11116432	-2.80777457	-6.34468366	-1.29934733	-3.00748627	-6.0112415	-1.20673893	-2.96221056
MAGEC3	-5.84345537	-1.82377487	-4.87542659	-6.42544838	-1.94314176	-5.29255769	-6.00835027	-1.91801659	-5.00349061
MAGED1	-0.93911991	-1.51e-05	-0.20168617	-1.45229037	-0.06447772	-0.61781206	-1.0599539	-0.05260108	-0.41502398
MAGED2	-1.00244051	-9e-08	-0.22952084	-1.53491091	-0.0719351	-0.60409255	-1.12975507	-0.05646471	-0.4604495
MAGED4	-5.68430027	-0.21856435	-1.17752855	-6.22432451	-0.39726355	-1.56106494	-5.87311387	-0.31387615	-1.32893199
MAGEE1	-1.11609667	-3.39e-06	-0.26338824	-1.65899891	-0.08520325	-0.74459449	-1.24719196	-0.05990974	-0.38776261
MAGEH1	-5.32653464	-1.017e-05	-0.68772953	-5.88909414	-0.14781969	-1.09036236	-5.51894743	-0.0476136	-0.82445309
MAGIX	-4.36115744	-1.271e-05	-0.57485815	-4.68238085	-0.00967649	-1.03925541	-4.47088815	-0.00570134	-0.71576481
MAGT1	-3.86057096	-0.44309884	-1.34312468	-4.12104319	-0.80781826	-1.69497552	-3.92005969	-0.62434311	-1.4709492
MAMLD1	-1.01449897	-2.117e-05	-0.2665914	-1.53776857	-0.06746326	-0.63912674	-1.14307562	-0.05661673	-0.43719449
MAOA	-1.03663578	-4.2e-07	-0.31517342	-1.56705467	-0.07067184	-0.66709833	-1.16905835	-0.05732535	-0.45021784
