Gene	s_log10_ci_low	s_log10_ci_high	s_log10_map	hs_log10_ci_low	hs_log10_ci_high	hs_log10_map	avg_hs_log10_ci_low	avg_hs_log10_ci_high	avg_hs_log10_map
RAB41	-5.85476806	-1.89515066	-2.87892481	-6.33465	-2.09461905	-4.46530953	-5.9931191	-2.00163079	-3.00790212
RAB9A	-1.95994127	-2.78e-06	-0.50288963	-2.55823967	-0.00743567	-0.87864351	-2.05979919	-0.00458354	-0.62374977
RAB9B	-4.1753664	-2.024e-05	-0.61090014	-5.11682911	-0.00802738	-1.01456282	-5.07820629	-0.00741802	-0.74706054
RAI2	-3.37630241	-1.421e-05	-0.57592691	-4.11695151	-0.00766014	-0.99324166	-3.54355953	-0.00553787	-0.70205647
RAP2C	-5.23900758	-3.655e-05	-0.67936246	-5.79780676	-0.12160569	-1.11022381	-5.4044129	-0.01739972	-0.82659876
RBBP7	-1.14009249	-0.00010972	-0.31235599	-1.69255478	-0.0846705	-0.75081164	-1.27260288	-0.05990066	-0.47780449
RBM10	-0.76727014	-7.13e-06	-0.11154393	-1.25186708	-0.04941733	-0.52013514	-0.87901226	-0.04008465	-0.31370798
RBM3	-3.15709359	-2.164e-05	-0.58919774	-5.0238381	-0.00382396	-1.02574356	-4.13907648	-0.00259754	-0.73953233
RBM41	-1.09784805	-1.465e-05	-0.34874886	-1.63872897	-0.07952867	-0.71117551	-1.23426093	-0.05983281	-0.45615448
RBMX	-1.09778014	-7.08e-06	-0.38064196	-1.63143326	-0.08082343	-0.76671362	-1.23154458	-0.05883491	-0.47106504
RBMX2	-1.6946015	-5.65e-05	-0.47496083	-2.27886529	-0.02554408	-0.88364493	-1.78994262	-0.00490365	-0.59852561
RENBP	-1.76337538	-0.31315609	-1.0633933	-2.35947173	-0.61300676	-1.38366908	-1.8634497	-0.48115276	-1.18406764
REPS2	-1.6980396	-0.52257075	-1.17006494	-2.3254627	-0.82390826	-1.44141923	-1.78313365	-0.69441052	-1.24074084
RGAG1	-0.98473598	-4.562e-05	-0.24760797	-1.50662975	-0.06917822	-0.65422006	-1.11395536	-0.05674491	-0.36427384
RGAG4	-5.85946327	-1.90980169	-3.74316348	-6.34360468	-2.12161181	-3.9253271	-6.00026364	-2.01835254	-3.81098
RGN	-4.69450126	-0.00036037	-1.04910248	-5.0467302	-0.31057104	-1.41915275	-4.77191257	-0.14876433	-1.19487061
RHOXF1	-3.20567994	-5.22e-06	-0.54728626	-4.33838335	-0.0040224	-0.98998791	-4.22533491	-0.00287419	-0.68920687
RHOXF2	-5.84577714	-1.21981024	-2.05555387	-6.31591722	-1.42665414	-2.51165813	-5.99252176	-1.33143755	-2.17469933
RHOXF2B	-5.35738143	-6.37e-06	-0.72128379	-5.93063108	-0.18235334	-1.13843239	-5.56848483	-0.07190963	-0.85399794
RIBC1	-1.04284133	-1.864e-05	-0.22482901	-1.57552284	-0.07052378	-0.68849825	-1.1720828	-0.05655359	-0.42940437
RIPPLY1	-5.89281521	-1.71276972	-3.27468899	-6.37977322	-1.8949751	-3.68689592	-6.04238775	-1.816177	-3.30789007
RLIM	-0.93339769	-2.605e-05	-0.25708813	-1.44036808	-0.06527074	-0.59651191	-1.05509764	-0.05195715	-0.34583407
RNF113A	-3.18172965	-2.775e-05	-0.55409721	-3.67565527	-0.0099234	-0.96171074	-2.97123227	-0.00666614	-0.69745909
RNF128	-1.33837293	-2.862e-05	-0.48637338	-1.91239514	-0.07178555	-0.78283782	-1.46811549	-0.04622141	-0.59676555
RP11-706O15.1	-5.54826415	-0.0840526	-0.91814596	-6.12350218	-0.29480375	-1.36829935	-5.76006063	-0.1912586	-1.04002733
RP2	-1.46019578	-8.914e-05	-0.44519971	-2.04056627	-0.05703549	-0.8637179	-1.58208556	-0.03410917	-0.60708838
RP6-24A23.6	-5.62414865	-0.15007716	-0.89179524	-6.18747243	-0.35452361	-1.46166505	-5.82120481	-0.25629162	-1.06779806
RPGR	-1.00607611	-6.697e-05	-0.31488315	-1.53389671	-0.06904599	-0.66108075	-1.13355458	-0.05645418	-0.41924537
RPL10	-1.63694506	-6.794e-05	-0.46055205	-2.23417309	-0.02862857	-0.82718779	-1.73623508	-0.00557935	-0.59491535
RPL36A	-4.85561086	-8.314e-05	-0.59892356	-5.30499646	-0.02147994	-1.01245529	-4.98902441	-0.01292475	-0.7282586
RPL36A-HNRNPH2	-5.70838968	-0.55535775	-1.49718082	-6.18035246	-0.80003707	-1.89758235	-5.86434199	-0.67550799	-1.64990288
RPL39	-5.3194434	-5.064e-05	-0.69498033	-5.91344244	-0.1521794	-1.13191016	-5.51575448	-0.04326541	-0.83804693
RPS4X	-1.39167191	-4.44e-06	-0.45949465	-1.98002989	-0.06316987	-0.85227725	-1.51631557	-0.03947599	-0.58198849
RPS6KA3	-0.81806493	-2.548e-05	-0.23632042	-1.31823387	-0.05174901	-0.55889121	-0.93455622	-0.04356552	-0.31516963
RPS6KA6	-1.27917526	-0.07784913	-0.71624786	-1.86037607	-0.29593513	-1.06510186	-1.39190355	-0.23252915	-0.84344529
RRAGB	-1.11607616	-2.07e-06	-0.2754114	-1.64737098	-0.08443643	-0.7453026	-1.24466491	-0.05918643	-0.42530371
RS1	-1.54707757	-6.875e-05	-0.39459187	-2.12494461	-0.04902142	-0.89393024	-1.66393659	-0.02372187	-0.5342865
S100G	-5.4862479	-0.05056252	-0.79468373	-6.09038408	-0.27107479	-1.28273655	-5.71333863	-0.16045948	-0.93907653
SAGE1	-5.67048072	-1.71800286	-2.45523739	-6.11896799	-2.01105337	-3.02226176	-5.80972302	-1.86074669	-2.66989649
SASH3	-1.1042239	-8.99e-06	-0.26547507	-1.6394277	-0.08128452	-0.74370054	-1.23769226	-0.05988411	-0.49748175
SAT1	-3.8958696	-4.64e-06	-0.55912785	-4.17090373	-0.00788716	-1.00798684	-4.00747165	-0.00500618	-0.68095031
SATL1	-5.89007491	-2.16471371	-3.65273413	-6.44749902	-2.28569233	-4.1833343	-6.04043597	-2.26133487	-3.8442366
SCML1	-1.33236691	-2.366e-05	-0.3486296	-1.90019827	-0.0749501	-0.86405022	-1.464273	-0.0495729	-0.58681364
SCML2	-0.99122213	-2.227e-05	-0.24199401	-1.52616787	-0.07040343	-0.6979408	-1.11833483	-0.05617847	-0.43589376
SEPT6	-1.38994158	-0.09435292	-0.73802701	-1.97529228	-0.31914645	-1.12585936	-1.49555228	-0.24162764	-0.90477599
SERPINA7	-5.81593224	-1.50711811	-2.1922065	-6.28658048	-1.73094307	-2.601121	-5.95508239	-1.6184021	-2.30111016
SH2D1A	-4.04020372	-6.93e-06	-0.56037875	-4.53085061	-0.00553994	-0.98865671	-3.9927407	-0.00493313	-0.703665
SH3BGRL	-4.95250186	-7.84e-06	-0.65402025	-5.40473481	-0.03711103	-1.04580358	-5.0970792	-0.00568475	-0.76934161
SH3KBP1	-0.9635024	-2.807e-05	-0.31063936	-1.47867304	-0.06951017	-0.61583177	-1.08721149	-0.05514837	-0.36371537
SHROOM2	-1.34179326	-0.21354385	-0.82936454	-1.91331031	-0.46128407	-1.15088415	-1.42488361	-0.38018526	-0.97060745
SHROOM4	-1.39313638	-0.37396868	-0.9248933	-1.99326667	-0.64204096	-1.22482882	-1.4772734	-0.55712793	-1.04992837
SLC10A3	-4.57733798	-2.65e-05	-0.58209154	-4.99039258	-0.00913091	-1.03817892	-4.81929128	-0.00684554	-0.720494
SLC16A2	-1.20694698	-8.56e-06	-0.33752197	-1.76870024	-0.08513818	-0.79901136	-1.33552061	-0.05749458	-0.4971029
SLC25A14	-1.15829441	-3.404e-05	-0.39020837	-1.71541985	-0.08099663	-0.69561641	-1.29310868	-0.0565847	-0.45880495
SLC25A43	-5.8729155	-2.08630813	-3.47050054	-6.4090425	-2.18273687	-3.73692668	-6.02841112	-2.17698227	-3.59116272
SLC25A5	-1.51909813	-0.00012129	-0.51162568	-2.10644222	-0.04566521	-0.88572718	-1.63313581	-0.0213628	-0.63805006
SLC25A53	-5.51640606	-0.56409693	-1.39448169	-5.97695258	-0.88523488	-1.72987612	-5.66795148	-0.70902236	-1.51263918
SLC35A2	-1.77167901	-3.113e-05	-0.47342692	-2.36877141	-0.00681704	-0.88103677	-1.86961179	-0.0004013	-0.58368631
SLC38A5	-1.16915491	-3.643e-05	-0.34057966	-1.70797479	-0.0790287	-0.80200949	-1.30140145	-0.05743015	-0.50009539
SLC6A14	-1.31049307	-0.07632167	-0.70015147	-1.89285815	-0.30086738	-1.07939236	-1.42241019	-0.2320363	-0.80969626
SLC6A8	-1.0420853	-2.288e-05	-0.2622773	-1.57878347	-0.07746252	-0.71128466	-1.17471526	-0.05978785	-0.43384672
SLC7A3	-1.14947931	-2.81e-06	-0.33375619	-1.70998787	-0.08298521	-0.71234154	-1.28468733	-0.05856572	-0.5146903
SLC9A6	-0.96860687	-1.013e-05	-0.29265314	-1.49424391	-0.06314673	-0.62651127	-1.09444635	-0.05520393	-0.39831381
SLC9A7	-0.97268112	-0.00010072	-0.36195435	-1.49168689	-0.06767879	-0.65642532	-1.10011021	-0.05619627	-0.35552643
SLITRK2	-1.7537098	-0.53963298	-1.17687525	-2.37192581	-0.84893282	-1.46252327	-1.84392464	-0.71533753	-1.29116775
SLITRK4	-1.30173064	-0.0826972	-0.71369967	-1.88179005	-0.30540252	-1.05432887	-1.41223094	-0.23386973	-0.82777133
SMARCA1	-1.12539407	-0.13197586	-0.64501469	-1.70149131	-0.36598662	-0.96701887	-1.20931326	-0.29906947	-0.79207434
SMC1A	-0.74076649	-1.92e-06	-0.08626422	-1.21008542	-0.046503	-0.47742668	-0.85461739	-0.03957324	-0.30446831
SMIM10	-5.70191887	-0.23406401	-1.00455629	-6.24015175	-0.40387631	-2.11544919	-5.88620629	-0.32354704	-1.91422464
SMIM9	-5.21256012	-0.00023977	-0.65433017	-5.7443424	-0.11085013	-1.10426407	-5.36771187	-0.0088293	-0.79172855
SMPX	-5.31894325	-0.00011483	-0.70577167	-5.87048178	-0.14875838	-1.10268063	-5.49844397	-0.0423945	-0.84091714
SMS	-1.48169245	-0.10332812	-0.82615722	-2.06878882	-0.34141805	-1.16986359	-1.59279385	-0.25707741	-0.92938472
SNX12	-4.60291674	-4.754e-05	-0.58815859	-4.85699858	-0.00495069	-1.0308634	-4.580182	-0.00305248	-0.72624934
SOWAHD	-5.49889578	-0.04455438	-0.82460321	-6.08145403	-0.25317992	-1.27105942	-5.72206594	-0.15108881	-0.95443378
SOX3	-5.0408873	-2.869e-05	-0.61693376	-5.29546646	-0.02398425	-1.08242405	-5.05963898	-0.01239338	-0.76709259
SPACA5	-5.58094112	-0.11046751	-0.84858538	-6.17080734	-0.31657619	-1.35966434	-5.79588955	-0.21779421	-1.01825717
SPANXC	-5.65780613	-0.18365585	-0.90618128	-6.20860335	-0.35457697	-1.47449382	-5.85102703	-0.27934229	-1.07379997
SPANXD	-5.8691744	-1.10316254	-2.80102427	-6.35385635	-1.29062816	-3.58936974	-6.02240545	-1.20926639	-2.98560494
SPANXN1	-5.6073162	-0.12369762	-0.85340655	-6.17246218	-0.32547682	-1.37311616	-5.8127263	-0.22882363	-0.98170938
SPANXN2	-5.56654395	-0.10083674	-0.9181724	-6.143071	-0.31227142	-1.33362671	-5.78076832	-0.20974621	-1.05587137
SPANXN3	-5.58218146	-0.11888182	-0.93861681	-6.15980192	-0.31823338	-1.42380857	-5.79111444	-0.22111714	-1.10224665
SPANXN4	-5.64230089	-0.17163416	-0.99379447	-6.19784503	-0.36463535	-1.44438409	-5.83895341	-0.27251091	-1.1343577
SPANXN5	-5.60869021	-0.12870211	-0.86800844	-6.1807612	-0.33196987	-1.32964276	-5.81238427	-0.23316771	-0.96779765
SPIN2A	-5.78492579	-0.6949206	-1.55305635	-6.26918405	-0.93124718	-1.96721611	-5.94198301	-0.81134346	-1.67754182
SPIN2B	-5.19458052	-0.000255	-0.6531462	-5.71608082	-0.10016155	-1.0866223	-5.3465596	-0.00581681	-0.78044434
SPIN3	-4.41625934	-2.91e-05	-0.57365901	-4.82707893	-0.00348488	-1.02389577	-4.54331687	-0.00260532	-0.69803904
SPIN4	-4.93262801	-2.21e-06	-0.58927697	-5.38688187	-0.02186321	-1.03630815	-5.07430884	-0.00399495	-0.73622296
SRPK3	-1.35466213	-0.0881569	-0.7497987	-1.95275234	-0.31247319	-1.12564274	-1.46614977	-0.23799778	-0.84821166
SRPX	-5.45746696	-1.20920435	-1.81375296	-5.91643496	-1.54553326	-2.19295613	-5.59946149	-1.37142976	-1.91254064
SRPX2	-1.5110294	-0.4372525	-1.0265268	-2.11768469	-0.71993498	-1.33864636	-1.59262001	-0.61622312	-1.11150332
SSR4	-3.2714559	-6.279e-05	-0.50649268	-3.58753095	-0.0105892	-0.95670582	-3.36763251	-0.00732349	-0.69741471
SSX1	-5.84048234	-1.83921208	-2.74805518	-6.42500624	-1.98106617	-3.7819089	-6.00129645	-1.93745318	-2.92617782
SSX3	-5.78613795	-1.29905034	-1.94533868	-6.24821781	-1.55226131	-2.43655352	-5.9272741	-1.42144527	-2.04213124
SSX4	-5.44044721	-0.01574507	-0.8102479	-6.04197835	-0.23593737	-1.22316924	-5.67498002	-0.12898388	-0.94751946
SSX4B	-5.40446795	-0.00026243	-0.73954526	-6.00856829	-0.20113712	-1.19238359	-5.6428495	-0.10133244	-0.87634779
SSX5	-5.84619351	-2.02657963	-3.07809462	-6.32825036	-2.2450442	-3.64616094	-5.9878982	-2.13979191	-3.09841485
SSX7	-5.8689429	-1.93905299	-3.62938152	-6.36571221	-2.1320114	-3.94623571	-6.00804436	-2.04178442	-3.68889679
STAG2	-0.71686278	-2.7e-07	-0.07413902	-1.17744773	-0.03945345	-0.47319098	-0.82562652	-0.03610118	-0.30876313
STARD8	-1.56575582	-0.45839969	-1.05409034	-2.17576128	-0.74706257	-1.36368971	-1.64885442	-0.63353309	-1.18205986
STS	-1.18201713	-1.267e-05	-0.36424864	-1.74227667	-0.08287452	-0.74964336	-1.31532518	-0.06061683	-0.52988176
SUV39H1	-1.17316454	-5.51e-06	-0.36747567	-1.72296127	-0.08690989	-0.70088872	-1.30453159	-0.06020851	-0.4657861
SYAP1	-1.22303657	-6.41e-06	-0.36583948	-1.78430466	-0.08527066	-0.79825814	-1.35753886	-0.06238577	-0.56768787
SYN1	-1.44408746	-0.0981354	-0.83673853	-2.0290153	-0.34786667	-1.2072038	-1.5523344	-0.25233281	-0.90082548
SYP	-1.22445399	-1.368e-05	-0.42948155	-1.78872436	-0.07747002	-0.77132714	-1.3586122	-0.05979796	-0.47830477
SYTL4	-5.64037313	-1.53803732	-2.26318781	-6.09168116	-1.84569074	-2.64989014	-5.77564385	-1.68284951	-2.41358861
SYTL5	-1.84432682	-0.75900472	-1.29830217	-2.44021044	-1.0741631	-1.56141565	-1.93330365	-0.95653859	-1.40791552
TAB3	-1.88355848	-0.76974479	-1.28474577	-2.4676246	-1.08372156	-1.60936192	-1.9807845	-0.96751219	-1.41988219
TAF1	-0.64486817	-1.732e-05	-0.06363267	-1.08696158	-0.03171668	-0.4220608	-0.74664703	-0.03163321	-0.255546
TAF7L	-1.08513767	-5.269e-05	-0.33188296	-1.62857826	-0.0777871	-0.75110528	-1.21692261	-0.05750567	-0.47042945
TAF9B	-5.90384864	-2.02212792	-3.82023482	-6.39417438	-2.1924875	-4.10760166	-6.04707175	-2.11679107	-3.99355101
TAZ	-1.22784457	-2.57e-06	-0.37679436	-1.77862796	-0.07652169	-0.83200892	-1.363631	-0.05783529	-0.50635216
TBC1D25	-1.67379064	-0.5189542	-1.15935387	-2.28869307	-0.81458586	-1.4574043	-1.75251833	-0.6890989	-1.25504258
TBC1D8B	-1.42868097	-0.39237472	-0.92764792	-2.02699942	-0.65441037	-1.26266471	-1.51568424	-0.57631473	-1.0951021
TBL1X	-0.89934537	-1.667e-05	-0.21032576	-1.42796625	-0.06093391	-0.62126899	-1.0252261	-0.05057645	-0.31599886
TBX22	-1.12499975	-4.622e-05	-0.37365464	-1.67787113	-0.08075333	-0.77201093	-1.25728918	-0.05952537	-0.48545431
TCEAL1	-5.37825614	-0.0001166	-0.69143737	-5.97859798	-0.18885079	-1.14700119	-5.59910572	-0.08546742	-0.83647377
TCEAL2	-5.64816391	-0.17763446	-0.89535641	-6.20014072	-0.35937595	-1.54481658	-5.84228364	-0.27570999	-1.05672635
TCEAL3	-5.12851709	-1.99e-06	-0.62651378	-5.53367136	-0.05737929	-1.03708292	-5.2550815	-0.00301666	-0.74988427
TCEAL4	-5.0454028	-1.081e-05	-0.63848572	-5.52929423	-0.05723603	-1.02730707	-5.31147213	-0.01166631	-0.76937781
TCEAL5	-3.99902768	-0.0001043	-0.57858001	-5.10711502	-0.00553683	-1.00644707	-4.33931457	-0.00525241	-0.70951143
TCEAL6	-5.51219076	-0.06130585	-0.80417194	-6.09777437	-0.28258127	-1.31166915	-5.73491346	-0.17301504	-0.93140818
TCEAL7	-5.49780822	-0.04680731	-0.80529092	-6.08859595	-0.25334452	-1.29119973	-5.72487348	-0.15516686	-0.95697014
TCEAL8	-5.42731549	-0.00253326	-0.75984246	-6.04054409	-0.2116131	-1.2423606	-5.66661438	-0.11196139	-0.91818079
TCEANC	-5.85780227	-2.09535875	-3.37652761	-6.34183714	-2.29556887	-3.66186137	-6.00036319	-2.2045406	-3.50152593
TENM1	-1.18273773	-0.36183749	-0.78840898	-1.80901419	-0.64135091	-1.11783725	-1.24874625	-0.56097482	-0.9468038
TEX11	-0.84760568	-2.081e-05	-0.1546099	-1.36220687	-0.06176347	-0.60528435	-0.96761524	-0.04852462	-0.31822927
TEX13A	-5.64328303	-0.48590391	-1.46603388	-6.12345502	-0.7719009	-1.83644768	-5.80332893	-0.61489671	-1.59567508
TFE3	-1.08596681	-8.75e-06	-0.37957695	-1.6416735	-0.08061583	-0.72791072	-1.22081868	-0.05795165	-0.44704115
THOC2	-0.70890953	-1.509e-05	-0.12525399	-1.18574394	-0.03977717	-0.4929941	-0.81881791	-0.03692666	-0.29509195
TIMM17B	-1.48326215	-8.35e-06	-0.47527208	-2.07301342	-0.05204062	-0.89113984	-1.60492857	-0.0303427	-0.57870078
TIMM8A	-5.06499696	-7.226e-05	-0.61698489	-5.5607842	-0.06254692	-1.04196901	-5.21508251	-0.00691999	-0.74825072
TIMP1	-5.56912035	-0.3853299	-1.37888974	-6.05269875	-0.6746008	-1.73173895	-5.73757701	-0.52238438	-1.49311054
TKTL1	-0.98014284	-3.27e-06	-0.22306194	-1.50187315	-0.06994411	-0.68922425	-1.10728397	-0.05624172	-0.38704539
TLR7	-1.03707106	-2.904e-05	-0.29105974	-1.55539763	-0.07839579	-0.66310187	-1.16869176	-0.06219189	-0.40751121
TLR8	-1.71647218	-0.52592753	-1.17861785	-2.33706123	-0.82949256	-1.46183009	-1.79947759	-0.6999435	-1.26544628
TM4SF2	-3.72122992	-0.00074522	-1.02894754	-4.80128307	-0.25667689	-1.38944199	-3.85212805	-0.11571608	-1.163658
TMEM164	-1.84587125	-8.95e-06	-0.46807546	-2.42910944	-0.0060017	-0.88698264	-1.94634991	-0.00479412	-0.61824646
TMEM185A	-3.42738213	-0.00028163	-1.01403234	-3.96857828	-0.20446315	-1.36408068	-3.59816187	-0.08760116	-1.16205176
TMEM187	-5.84049748	-1.55812574	-2.79265322	-6.31729879	-1.7842339	-2.97953852	-5.97704295	-1.665463	-2.78151356
TMEM255A	-5.34270829	-0.76169721	-1.51806352	-5.80058134	-1.10862459	-1.85703487	-5.49254124	-0.92496256	-1.620425
TMEM257	-5.53547097	-0.08162472	-0.83416909	-6.12518273	-0.28787699	-1.31557166	-5.75081845	-0.19164006	-0.95867518
TMEM27	-5.81688762	-1.42392066	-2.13093049	-6.28603966	-1.65699831	-2.57455517	-5.96062033	-1.5385184	-2.2737213
TMEM31	-5.8972989	-2.1467041	-3.99390258	-6.3900333	-2.31854294	-4.54904722	-6.04114384	-2.2472404	-4.18855565
TMEM35	-4.84245776	-9.075e-05	-0.58813532	-5.16141337	-0.00851329	-0.99029691	-3.94126406	-0.00741838	-0.74075845
TMEM47	-4.21000474	-7.06e-06	-0.60314828	-5.28996972	-0.00181955	-1.04277873	-4.29043665	-0.00116288	-0.71760841
TMLHE	-5.69709697	-1.33117108	-1.97880778	-6.17517488	-1.61832464	-2.41318335	-5.83933386	-1.46685254	-2.10442827
TMSB15A	-5.58217972	-0.11522787	-0.80774845	-6.15976072	-0.3077646	-1.34176391	-5.78816865	-0.22048594	-0.98412539
TMSB15B	-5.59671039	-0.11654672	-0.80426765	-6.17014261	-0.30619502	-1.3742119	-5.807541	-0.21831512	-0.94160204
TMSB4X	-5.53776867	-0.08403457	-0.82576161	-6.10866899	-0.30269209	-1.31209722	-5.75313044	-0.19573892	-0.93435308
TNMD	-1.58382676	-0.11111696	-0.88560027	-2.18208967	-0.34240776	-1.18890368	-1.70065742	-0.26313194	-1.00303476
TRAPPC2	-4.42584641	-7.37e-05	-0.63472639	-5.15251737	-0.00518468	-1.05930696	-5.16519018	-0.00473782	-0.74642227
TRMT2B	-5.73337225	-1.7412222	-2.61004276	-6.19773644	-2.00620517	-2.98769815	-5.87294321	-1.87175625	-2.73262276
TRO	-1.50028025	-0.28616691	-0.94721165	-2.08668561	-0.54958209	-1.2804069	-1.59179504	-0.4514173	-1.09871608
TRPC5	-1.1694362	-0.05101113	-0.65761456	-1.73580412	-0.25522671	-0.95030279	-1.28616704	-0.20475664	-0.77043782
TSC22D3	-3.89553592	-0.00011299	-0.55694486	-4.31528956	-0.01005488	-0.98455057	-4.0136087	-0.00536792	-0.70553371
TSPAN6	-5.77123131	-1.24642452	-1.85529766	-6.24327362	-1.51244659	-2.21754639	-5.91586638	-1.37564986	-1.95809918
TSPAN7	-4.74312335	-0.00039232	-1.0660667	-5.06804425	-0.29213147	-1.42084082	-4.88295415	-0.14194503	-1.19836554
TSPYL2	-1.16000544	-3.445e-05	-0.30428913	-1.7010996	-0.0778833	-0.74589437	-1.29097121	-0.056378	-0.48483058
TSR2	-4.8906375	-0.00013863	-0.62644884	-5.14502756	-0.00807695	-1.00128071	-5.00595913	-0.00521252	-0.74784588
TXLNG	-1.02977297	-2.312e-05	-0.32129385	-1.55959149	-0.07534383	-0.61574787	-1.16146136	-0.06146244	-0.41365247
UBA1	-0.74875884	-1.127e-05	-0.07964253	-1.2227612	-0.04353204	-0.50251345	-0.85834256	-0.03660418	-0.32285398
UBE2A	-4.33405405	-3.573e-05	-0.58574632	-4.99820893	-0.00398916	-1.00865728	-4.86888761	-0.0022039	-0.70948001
UBL4A	-5.17501438	-0.00019872	-0.62544894	-5.68538314	-0.07993901	-1.08389915	-5.33014067	-0.00903256	-0.76290856
UBQLN2	-1.48239414	-3.125e-05	-0.46057118	-2.06430426	-0.05655724	-0.81806254	-1.59871033	-0.0304452	-0.59930529
UPF3B	-0.93551074	-6.284e-05	-0.28311474	-1.46362346	-0.06657734	-0.66413123	-1.05963154	-0.05113587	-0.38563107
UPRT	-1.2235487	-6.78e-06	-0.3902238	-1.77927825	-0.08405504	-0.79129785	-1.35697246	-0.0580535	-0.49578817
USP11	-0.81232299	-7.94e-06	-0.14131844	-1.31550388	-0.05543966	-0.51624827	-0.93101576	-0.04646137	-0.30438019
USP27X	-3.1624708	-2.551e-05	-0.51230326	-3.56851238	-0.00777797	-0.93955894	-3.26397394	-0.00659949	-0.61898173
USP51	-1.64110407	-0.10077075	-0.91408566	-2.24081435	-0.34318416	-1.23382666	-1.76176128	-0.25394384	-1.03298285
USP9X	-0.56726598	-3.91e-06	-0.05235336	-0.96583515	-0.0264274	-0.34554854	-0.66204251	-0.02604818	-0.24509794
UTP14A	-0.87101787	-1.095e-05	-0.17974759	-1.38363273	-0.05822394	-0.52273115	-0.98817187	-0.04888127	-0.32056074
UXT	-2.62017071	-8.549e-05	-0.54858707	-3.76762217	-0.00271689	-0.94891448	-2.76851238	-0.00211848	-0.67990063
VBP1	-2.75639553	-1.045e-05	-0.56040741	-4.13933794	-0.0062836	-0.96890473	-2.78045948	-0.00390466	-0.72336546
VCX	-5.66102521	-0.18868004	-0.95792856	-6.21315724	-0.36408346	-1.62779639	-5.85068156	-0.28155596	-1.11734322
VCX2	-5.68671862	-0.22815187	-1.09110471	-6.23754249	-0.40383446	-2.19281222	-5.87034559	-0.32326728	-1.99803415
VCX3A	-5.70593803	-0.24249742	-0.99984167	-6.24612683	-0.40993339	-3.40820785	-5.88892379	-0.32970492	-1.22106976
VCX3B	-5.65787179	-0.18728271	-0.94461964	-6.20767993	-0.38260745	-1.90485112	-5.84993731	-0.28811593	-1.04316644
VGLL1	-4.41995531	-4.48e-05	-0.57112987	-5.19011205	-0.00861596	-1.01127127	-4.48603218	-0.00482963	-0.72094644
VMA21	-5.38298091	-2.595e-05	-0.73455626	-5.9824141	-0.18798957	-1.18437143	-5.60465846	-0.08469198	-0.89134364
VSIG1	-1.18747015	-4.613e-05	-0.32512039	-1.73466411	-0.08159088	-0.74657716	-1.31935118	-0.06303093	-0.47791782
VSIG4	-5.83120805	-2.03893759	-3.51157802	-6.41589305	-2.17632784	-3.8197548	-5.98691313	-2.14366932	-3.44488479
WAS	-0.98825437	-9.8e-07	-0.28773393	-1.51720341	-0.07362438	-0.69636114	-1.11560172	-0.0566067	-0.40104174
WBP5	-5.48857593	-0.04327416	-0.76939441	-6.08815804	-0.25941286	-1.2422993	-5.7197978	-0.15670652	-0.91864461
WDR13	-1.19525909	-5.57e-06	-0.4229594	-1.7404756	-0.08058108	-0.78181277	-1.32682526	-0.06103207	-0.50796145
WDR44	-0.87119666	-5.3e-06	-0.17728261	-1.37433436	-0.06121897	-0.58222927	-0.98578026	-0.04967266	-0.3395846
WDR45	-1.12171025	-2.731e-05	-0.31689262	-1.67180157	-0.08387808	-0.68592918	-1.25309436	-0.05919107	-0.50437535
WNK3	-0.90794309	-0.01355114	-0.45133246	-1.47394587	-0.18175869	-0.7100169	-1.02949273	-0.1514754	-0.57249933
WWC3	-1.21168728	-0.15604018	-0.68646385	-1.78534262	-0.39467617	-1.05010168	-1.29888932	-0.32257479	-0.8282634
XAGE3	-4.11491879	-0.00017155	-0.56176435	-4.54070172	-0.00736642	-0.97778351	-4.21239614	-0.00570286	-0.67223423
XAGE5	-5.35018958	-0.46037425	-1.3350533	-5.79834211	-0.79440024	-1.68036729	-5.50103919	-0.61062028	-1.45326443
XIAP	-1.69851612	-0.32147624	-0.98320099	-2.2702408	-0.60163296	-1.39592586	-1.7951186	-0.48543788	-1.14027824
XK	-1.48764456	-1.52e-06	-0.49668234	-2.07832975	-0.04882282	-0.80054853	-1.6042443	-0.02658876	-0.60864647
XKRX	-1.77495457	-0.0720052	-0.92945934	-2.37523901	-0.31970553	-1.26939607	-1.90688392	-0.22524535	-1.04095791
XPNPEP2	-5.80731359	-2.04858454	-3.07176133	-6.33305252	-2.19046494	-3.68907003	-5.95647158	-2.15059224	-3.57523653
YIPF6	-2.48300833	-3.442e-05	-0.51247031	-3.12446673	-0.00195307	-0.87542321	-2.54747577	-0.00185539	-0.65390979
YY2	-3.71762709	-2.229e-05	-0.56024218	-4.22296097	-0.00408192	-1.029842	-3.91306014	-0.00381478	-0.70372791
ZBTB33	-1.26614556	-2.412e-05	-0.36297095	-1.81475399	-0.0803471	-0.80908949	-1.39964799	-0.05515493	-0.51993052
ZC3H12B	-0.91228459	-1.265e-05	-0.21096173	-1.42854591	-0.06591526	-0.60043403	-1.03755126	-0.05443221	-0.31768751
ZC4H2	-2.17558316	-2.497e-05	-0.48574772	-2.74885405	-0.00702389	-0.90626274	-2.27068134	-0.00431365	-0.64707723
ZCCHC12	-1.64774846	-7.013e-05	-0.43809095	-2.24691745	-0.02114789	-0.92442751	-1.74807831	-0.00243211	-0.58222108
