Gene	log10_ci_low	log10_ci_high	log10_map
EDC3	-5.27994289	-0.95801265	-1.65412736
EDC4	-1.66034465	-1.08930565	-1.36588584
EDEM1	-5.89094258	-1.70402598	-2.26791622
EDEM2	-6.13353205	-2.18546412	-3.26046701
EDEM3	-1.94942203	-1.15422003	-1.51351149
EDF1	-1.72296965	-0.05806641	-0.76734613
EDIL3	-1.98232453	-1.07831137	-1.49027895
EDN1	-1.98029511	-0.0145514	-0.83605624
EDN2	-4.62868481	-0.00361377	-0.88104324
EDN3	-1.69189454	-0.06340861	-0.7525972
EDNRA	-1.29066328	-0.08996291	-0.63424288
EDNRB	-5.72918625	-1.32482126	-2.02164002
EDRF1	-1.76344881	-1.17266779	-1.45918271
EEA1	-1.83667858	-1.25109829	-1.52253786
EED	-1.6634971	-0.53885403	-1.16295427
EEF1A1	-1.8213398	-0.32554668	-1.09880522
EEF1A2	-1.38580879	-0.09793667	-0.6664371
EEF1B2	-1.64561432	-0.06888908	-0.76643233
EEF1D	-4.7503786	-1.14768509	-1.75128938
EEF1E1	-6.10325937	-0.95303059	-1.74713215
EEF1G	-1.10412202	-0.07380387	-0.55899277
EEF2	-1.06762415	-0.07134519	-0.50013811
EEF2K	-6.04617736	-2.10890386	-3.03127213
EEFSEC	-6.15223009	-2.12079805	-3.20024532
EEPD1	-1.22626061	-0.08133782	-0.57196184
EFCAB1	-5.8350028	-1.18810738	-1.80865553
EFCAB10	-2.70160271	-0.00279685	-0.81599635
EFCAB11	-5.92094296	-1.25809602	-1.85505197
EFCAB12	-6.06557967	-1.92665119	-3.0197253
EFCAB13	-6.29775051	-3.69264601	-4.71147887
EFCAB14	-5.9064491	-1.54629055	-2.13300211
EFCAB2	-6.23374609	-2.30948837	-3.83466989
EFCAB3	-6.27832844	-2.54612116	-4.28683444
EFCAB4A	-6.11711759	-2.07112393	-3.40962596
EFCAB4B	-5.90349592	-1.699839	-2.29676887
EFCAB5	-6.11308763	-2.60521088	-3.71058051
EFCAB6	-5.98977467	-2.07201421	-3.2851877
EFCAB7	-6.07152835	-2.13743733	-3.4674786
EFCAB8	-5.83570229	-1.28056171	-1.88941713
EFCC1	-5.85146282	-1.28859299	-1.87165458
EFEMP1	-1.01969207	-0.06796677	-0.44041661
EFEMP2	-1.74283113	-0.56194113	-1.20302464
EFHB	-6.0654523	-2.0895731	-3.43649558
EFHC1	-6.00311698	-1.93773314	-3.00121693
EFHD1	-6.10140485	-0.65836624	-1.5617895
EFHD2	-5.11251284	-0.00874554	-0.90190482
EFNA1	-2.00236733	-0.01088374	-0.8183823
EFNA2	-5.78525506	-0.44946268	-1.4126021
EFNA4	-6.04131678	-0.85901332	-1.64931814
EFNA5	-1.70208446	-0.06232183	-0.76311772
EFNB2	-1.56330222	-0.09029331	-0.7733222
EFNB3	-5.36448773	-0.75885639	-1.551141
EFR3A	-4.83638067	-1.45148404	-1.97441389
EFR3B	-2.1428151	-1.09297489	-1.55636002
EFS	-6.0987227	-1.90271041	-2.68367169
EFTUD1	-3.67558859	-1.50781067	-1.95811726
EFTUD2	-0.95044995	-0.06144472	-0.43103971
EGF	-4.20888083	-1.44593557	-2.05433444
EGFL7	-6.1841869	-2.20587745	-3.42275459
EGFL8	-6.17352581	-2.52335561	-3.83808555
EGFLAM	-4.81308068	-1.34915654	-2.01543357
EGFR	-1.59704324	-0.9881494	-1.30197408
EGLN1	-1.3457423	-0.0980066	-0.67129057
EGLN2	-1.85446816	-0.56716972	-1.2313922
EGLN3	-5.96110524	-1.18953111	-1.81128955
EGR1	-4.83595528	-0.49734403	-1.42846151
EGR2	-2.14857013	-0.2585604	-1.16861393
EGR3	-2.25225433	-0.00556216	-0.79204026
EGR4	-2.34968986	-0.00196558	-0.81637081
EHBP1	-1.60244232	-1.02720534	-1.31817603
EHBP1L1	-2.39569798	-1.51057149	-1.82111305
EHD1	-1.3618589	-0.09592527	-0.59098866
EHD2	-1.39291268	-0.09591779	-0.65704282
EHD3	-5.43359333	-1.04543893	-1.79097334
EHD4	-4.62175406	-1.14996433	-1.75128307
EHF	-1.69523798	-0.54556307	-1.20264128
EHHADH	-6.09443794	-2.01476467	-3.43758637
EHMT1	-0.82117587	-0.04527152	-0.35928039
EHMT2	-1.86139488	-1.28999739	-1.56007829
EI24	-1.21795613	-0.08580285	-0.58042863
EID1	-5.40342993	-0.00870032	-0.93529188
EID2	-5.69824812	-0.05966352	-1.01992092
EID3	-2.13912028	-0.24823872	-1.1407049
EIF1	-5.24794776	-0.0052433	-0.94881047
EIF1AD	-6.17046369	-1.81596792	-2.88841004
EIF1B	-5.36562132	-0.00722814	-0.90830957
EIF2A	-5.28792901	-1.33560785	-1.9187372
EIF2AK1	-4.54992886	-1.29008718	-1.84867897
EIF2AK2	-3.13233173	-1.10427262	-1.66852596
EIF2AK3	-1.81411211	-1.14159349	-1.45803752
EIF2AK4	-5.45399697	-1.76777783	-2.94553842
EIF2B1	-6.20384772	-2.29246194	-4.29389006
EIF2B2	-6.14885802	-2.07197614	-3.07704863
EIF2B3	-1.6473009	-0.5312553	-1.14159274
EIF2B4	-1.34421896	-0.27946896	-0.79967099
EIF2B5	-1.56044197	-0.76151119	-1.1847817
EIF2D	-2.51447566	-1.30873134	-1.72219768
EIF2S1	-1.32944825	-0.09226649	-0.66886693
EIF2S2	-1.5591709	-0.33167971	-0.97767466
EIF2S3L	-6.1291074	-1.80123127	-2.74971497
EIF3A	-1.12131622	-0.46271349	-0.80299506
EIF3B	-0.98594307	-0.06318477	-0.41280618
EIF3C	-6.20237126	-2.40439988	-3.9015544
EIF3CL	-6.18341028	-1.71903617	-2.6935691
EIF3D	-1.06983516	-0.07290086	-0.49971626
EIF3E	-1.8018205	-0.56502398	-1.20644486
EIF3F	-1.41363599	-0.09775913	-0.69139552
EIF3G	-1.90590773	-0.3149673	-1.11312946
EIF3H	-1.567099	-0.32682122	-0.97447816
EIF3I	-1.79325843	-0.33349468	-1.09906478
EIF3J	-3.89411398	-0.41543761	-1.39404356
EIF3K	-6.05973851	-1.73637916	-2.65934352
EIF3L	-1.14319325	-0.08048799	-0.50173202
EIF3M	-1.28720167	-0.25226225	-0.5625375
EIF4A1	-1.09672589	-0.07595409	-0.46656858
EIF4A2	-1.24387867	-0.25267621	-0.52628028
EIF4A3	-1.1706198	-0.08141537	-0.52475538
EIF4B	-0.94921126	-0.05943622	-0.39978279
EIF4E	-1.27243506	-0.09099072	-0.58434544
EIF4E1B	-6.09522644	-1.84773668	-2.8678483
EIF4E2	-1.30242641	-0.09002751	-0.68113486
EIF4E3	-6.00256991	-1.61221014	-2.23817701
EIF4EBP1	-5.94558346	-0.16557881	-1.08032433
EIF4EBP2	-5.48817297	-0.00880646	-0.9187646
EIF4EBP3	-5.96478672	-0.5580612	-1.48603831
EIF4ENIF1	-1.22708984	-0.34960757	-0.79382271
EIF4G1	-0.99353039	-0.25251971	-0.64652568
EIF4G2	-0.85928695	-0.04973382	-0.36439379
EIF4G3	-0.9637108	-0.15809465	-0.55421156
EIF4H	-6.0253088	-1.70695654	-2.33100903
EIF5	-1.21547608	-0.08530788	-0.56079937
EIF5A	-1.8133302	-0.04523407	-0.79186153
EIF5A2	-6.04692817	-0.89730014	-1.67883861
EIF5AL1	-6.22849144	-0.3570364	-1.70072079
EIF5B	-1.31032798	-0.50376294	-0.95344079
EIF6	-5.35991746	-0.54300202	-1.45828883
ELAC1	-1.59439193	-0.08314658	-0.72356486
ELAC2	-6.09963944	-2.11087879	-3.43570582
ELANE	-5.98499739	-1.45113369	-2.05776847
ELAVL1	-1.39250205	-0.09911786	-0.64012864
ELAVL2	-1.35003309	-0.09756382	-0.65663432
ELAVL3	-1.57281098	-0.08856423	-0.79338159
ELAVL4	-1.36435008	-0.09287451	-0.73366229
ELF1	-1.88592886	-0.77696903	-1.31490645
ELF2	-1.66103249	-0.53667151	-1.12022768
ELF3	-1.42911765	-0.30320892	-0.83357455
ELF5	-4.52954879	-0.86139023	-1.5871887
ELFN1	-1.51587086	-0.09828619	-0.73318897
ELFN2	-1.30885019	-0.09005706	-0.6132274
ELK3	-1.41047263	-0.09469051	-0.70131734
ELK4	-6.00561771	-1.44241221	-2.00394501
ELL	-1.3242795	-0.26979159	-0.80583924
ELL2	-1.08521652	-0.0752982	-0.52433719
ELL3	-5.49903049	-1.31355395	-1.88762453
ELMO1	-1.4122387	-0.57361049	-1.01849423
ELMO2	-1.81080923	-1.13888513	-1.45641726
ELMO3	-5.98720478	-2.33200601	-3.15607288
ELMOD1	-1.79005815	-0.34296843	-1.12400042
ELMOD2	-5.37297264	-1.0234918	-1.68692346
ELMOD3	-6.14158349	-2.14661362	-3.33563906
ELMSAN1	-0.99501299	-0.20837183	-0.36099638
ELN	-6.00326471	-1.94233072	-2.86155372
ELOF1	-4.88766001	-0.01110989	-0.8613584
ELOVL1	-1.71342125	-0.33317966	-1.06354764
ELOVL2	-5.98574669	-1.61846768	-2.2137051
ELOVL3	-5.62285049	-0.3763952	-1.3705865
ELOVL4	-1.58558248	-0.33790866	-0.99759827
ELOVL5	-1.2086385	-0.08920034	-0.56900886
ELOVL6	-1.31459203	-0.09263656	-0.68141187
ELOVL7	-6.1081488	-1.99655821	-3.84436464
ELP2	-5.83430646	-1.8507641	-2.46095989
ELP3	-5.81442404	-1.69132968	-2.26568022
ELP4	-5.98209733	-1.63127645	-2.23071122
ELP5	-5.96483832	-1.49742344	-2.04291831
ELP6	-6.20396478	-2.33526291	-3.86534662
ELSPBP1	-6.17452023	-2.2870126	-3.7518921
ELTD1	-5.87113161	-1.6260399	-2.23563321
EMB	-6.11864304	-1.98619095	-3.18137399
EMC1	-5.98706181	-1.99820364	-2.97179994
EMC10	-6.14141318	-2.26509936	-3.60735415
EMC2	-6.09124471	-2.18599662	-3.70639792
EMC3	-2.55602023	-0.71495685	-1.4416924
EMC4	-1.63616764	-0.07373819	-0.72932084
EMC6	-6.08595736	-0.22414699	-1.10980238
EMC7	-1.61018858	-0.0781506	-0.75224731
EMC8	-3.57524271	-0.15470687	-1.22736298
EMC9	-5.40957674	-0.58889437	-1.47649837
EMCN	-6.10570608	-1.92399807	-2.82653498
EME1	-6.08880799	-2.08247837	-3.63978539
EME2	-6.20275232	-2.30175025	-3.9685521
EMG1	-2.47837646	-0.44783729	-1.33700241
EMID1	-6.03183772	-1.77213882	-2.43196573
EMILIN1	-2.53277508	-1.25473035	-1.68155827
EMILIN2	-6.03066316	-1.94609844	-2.62071195
EMILIN3	-5.89824061	-1.61720693	-2.21030012
EML1	-1.62103795	-0.9231196	-1.28166478
EML2	-2.73765749	-1.34252885	-1.77202705
EML3	-2.75015694	-1.41999437	-1.81992697
EML4	-1.99703995	-1.33873404	-1.58611128
EML5	-2.45656203	-1.57797984	-1.90715214
EML6	-2.00217475	-1.36481471	-1.6392508
EMP1	-6.07716153	-0.61737878	-1.52632415
EMP2	-6.22301551	-2.40421503	-4.12403328
EMP3	-6.20716601	-2.286186	-3.53538711
EMR1	-6.02920196	-2.15483086	-3.30632542
EMR2	-6.04429491	-2.25988849	-3.28860188
EMR3	-6.04183087	-2.04555719	-3.37305952
EMX1	-4.47832428	-0.00804374	-0.90103041
EMX2	-2.06456298	-0.00692592	-0.78186097
EN1	-3.58436698	-0.00450622	-0.85630589
EN2	-3.74361081	-0.00478171	-0.86019897
ENAH	-1.03351513	-0.0679955	-0.45855563
ENAM	-5.64120957	-1.42476736	-2.12725041
ENC1	-1.53272473	-0.32491493	-0.95876553
ENDOD1	-6.2213866	-2.31287046	-4.0012647
ENDOG	-6.08309807	-1.13218529	-1.81247464
ENDOU	-6.04985052	-2.04586255	-3.03383405
ENDOV	-6.18041905	-3.28638448	-5.14198871
ENG	-1.07979044	-0.07382954	-0.47572078
ENGASE	-6.01221296	-2.11360807	-3.3217234
ENHO	-6.15543418	-0.31567538	-1.30002866
ENKD1	-6.12375717	-2.06521118	-3.34213467
ENKUR	-6.04741871	-1.52483722	-2.10388133
ENO1	-5.74663162	-1.39173371	-1.95559101
ENO2	-1.47518871	-0.31288942	-0.8886989
ENO3	-6.16090675	-2.28716543	-3.67624896
ENO4	-1.64965094	-0.07394436	-0.77729979
ENOPH1	-5.94355162	-1.52442562	-2.10567585
ENOSF1	-6.16365625	-2.20500338	-3.51856222
ENOX1	-2.34578574	-1.2908225	-1.67089343
ENPEP	-6.13373516	-2.75264879	-3.58267697
ENPP1	-4.85387138	-1.34127036	-2.01844598
ENPP2	-1.6809993	-1.00629032	-1.37051647
ENPP3	-5.96069707	-2.20099727	-3.2077788
ENPP4	-4.6009824	-0.45116543	-1.41030817
ENPP5	-6.21314518	-2.28357177	-3.76367635
ENPP6	-5.93146332	-1.46871458	-2.03694156
ENPP7	-6.11914674	-2.12068949	-3.8574825
ENSA	-3.26418665	-0.01039327	-0.87223172
ENTHD1	-6.08150006	-1.80583164	-2.4996953
ENTHD2	-6.14660853	-2.18229917	-3.37677317
ENTPD1	-2.14866277	-0.7765844	-1.40508481
ENTPD2	-6.11198954	-2.15752787	-3.68346633
ENTPD3	-6.16830035	-2.21703526	-3.28042583
ENTPD4	-6.02336302	-2.06216882	-2.94655309
ENTPD5	-5.80941789	-1.59828893	-2.17401108
ENTPD6	-5.12315547	-1.19231621	-1.78575316
ENTPD7	-5.40475552	-1.54896243	-2.10953187
ENTPD8	-6.21197267	-2.33579566	-3.54615431
ENY2	-4.90612285	-0.00367014	-0.90320275
EOGT	-6.16512908	-2.20867656	-3.70876011
EOMES	-1.1561638	-0.08144506	-0.55324946
EP300	-1.20992067	-0.62276135	-0.92587607
EP400	-1.44251994	-0.9638342	-1.2144051
EP400NL	-6.08558293	-2.35921368	-3.2551552
EPAS1	-1.42066624	-0.45023185	-0.97045057
EPB41	-2.47397428	-1.43099984	-1.7711002
EPB41L1	-1.9254442	-1.11287321	-1.49219488
EPB41L2	-1.56504275	-0.76949902	-1.17940139
EPB41L3	-1.56510264	-0.88846698	-1.2428063
EPB41L4A	-6.04292135	-2.02476608	-3.14092032
EPB41L4B	-1.3135287	-0.39564547	-0.90185056
EPB41L5	-1.90925894	-1.21079192	-1.51251634
EPB42	-2.83264224	-1.31607255	-1.7705223
EPC1	-0.94242054	-0.1887972	-0.3602698
EPC2	-1.00916292	-0.06952664	-0.43640709
EPCAM	-6.12469727	-2.00749643	-3.03532831
EPDR1	-5.6437463	-0.39527069	-1.36800869
EPG5	-1.86013578	-1.38284568	-1.6003779
EPGN	-6.21962775	-2.34712744	-4.01516289
EPHA1	-5.62803385	-1.61748374	-2.29834457
EPHA10	-6.13224016	-2.18614576	-3.73891557
EPHA2	-5.03445851	-1.31836259	-1.98406057
EPHA3	-1.8342182	-1.18238533	-1.48965824
EPHA4	-1.21985704	-0.35720451	-0.7944464
EPHA5	-1.77122957	-1.00319436	-1.40413478
EPHA6	-1.88980691	-1.14056364	-1.50070616
EPHA7	-0.95256145	-0.05966757	-0.45938118
EPHA8	-3.59590793	-1.31104199	-1.88105083
EPHB1	-5.91147448	-1.69592069	-2.39456584
EPHB2	-1.42045638	-0.44657073	-0.95496889
EPHB3	-5.97776999	-1.85259969	-2.65326013
EPHB4	-1.38374225	-0.56046777	-0.99611954
EPHB6	-1.58752856	-0.84864116	-1.23014473
EPHX1	-6.11557297	-1.97980591	-2.80583241
EPHX2	-6.08553814	-2.20967284	-3.68389818
EPHX3	-6.00156952	-1.6858975	-2.43520868
EPHX4	-5.98768506	-1.65550922	-2.43264994
EPM2A	-6.20799884	-2.30369801	-3.52618523
EPM2AIP1	-1.70682023	-0.55308835	-1.18996565
EPN1	-2.14050968	-0.93860378	-1.47702983
EPN2	-3.9485367	-1.0957226	-1.69551247
EPN3	-5.8422384	-1.58319548	-2.18353929
EPO	-5.7502373	-1.06074811	-1.73021972
EPOR	-6.06540496	-1.85396037	-2.82604195
EPPIN	-6.13638499	-1.97240315	-2.94486913
EPPIN-WFDC6	-6.14307816	-1.98389123	-3.10909787
EPPK1	-5.94814574	-2.00471099	-2.78926869
EPRS	-1.84500871	-1.30344745	-1.55780054
EPS15	-2.12488319	-1.23325086	-1.59720059
EPS15L1	-1.46954574	-0.69979202	-1.09421599
EPS8	-0.9595693	-0.0614925	-0.42384741
EPS8L1	-2.05774755	-1.09776175	-1.51908264
EPS8L2	-2.37354848	-1.26156282	-1.66385819
EPS8L3	-5.85044095	-1.69477503	-2.59167078
EPSTI1	-6.07464984	-2.07698285	-3.02009789
EPT1	-1.3175434	-0.09492502	-0.62824502
EPX	-6.25077419	-2.57361882	-3.68984544
EPYC	-6.19651051	-2.2774438	-3.77389115
EQTN	-6.05700191	-2.0418359	-2.87968098
ERAL1	-4.88863911	-1.19911225	-1.79511274
ERAP1	-6.08678435	-2.13752452	-3.42518667
ERAP2	-6.04242333	-2.07538281	-3.50489382
ERBB2	-1.54124282	-0.91312276	-1.24217402
ERBB2IP	-1.4350187	-0.74201505	-1.12103558
ERBB3	-2.15693244	-1.46556953	-1.75229756
ERBB4	-1.24239213	-0.46999793	-0.86719998
ERC1	-2.4550707	-1.45105291	-1.7996986
ERC2	-1.48585586	-0.77861573	-1.14859183
ERCC1	-6.07274304	-1.70448277	-2.48015516
ERCC2	-6.12619883	-2.19798654	-3.44012024
ERCC3	-6.09565521	-2.13077843	-3.34982566
ERCC4	-5.12669926	-1.44054837	-1.99676511
ERCC5	-2.4239666	-1.39147457	-1.73167853
ERCC6	-5.62202068	-1.83282061	-3.26790027
ERCC6-PGBD3	-5.28988376	-1.35968893	-1.9277507
ERCC6L2	-6.11632032	-2.16525802	-3.47087816
ERCC8	-6.13636973	-2.1012751	-3.74787126
EREG	-5.97443118	-1.1912822	-1.83534979
ERF	-1.27964702	-0.09220543	-0.58547799
ERG	-1.27673379	-0.09112213	-0.59890284
ERGIC1	-1.75909558	-0.33706065	-1.10915053
ERGIC2	-4.62247826	-0.87765136	-1.6095702
ERGIC3	-3.61932691	-1.09559291	-1.6958068
ERH	-2.52299506	-0.00940066	-0.80428592
ERI1	-6.07874018	-2.02708337	-3.224879
ERI2	-5.60297815	-1.35887721	-1.94418456
ERI3	-5.50757052	-0.99673978	-1.68426417
ERICH1	-6.05806753	-1.78287776	-2.48552119
ERLEC1	-4.72663431	-1.05444534	-1.77642722
ERLIN1	-1.32540253	-0.09226207	-0.64330309
ERLIN2	-5.66781737	-1.04330399	-1.72055661
ERMAP	-5.50206602	-1.25259147	-1.84998826
ERMARD	-6.09254374	-2.06443881	-3.060414
ERMN	-5.6424222	-0.90122878	-1.63484433
ERMP1	-5.03849645	-1.37601469	-1.98936099
ERN1	-1.53975444	-0.75143095	-1.18117987
ERN2	-6.10564774	-2.19588469	-3.45111292
ERO1L	-2.0106049	-1.02786623	-1.44824136
ERO1LB	-6.0303299	-1.94882882	-2.71548916
ERP27	-6.10502088	-1.71910107	-2.46741615
ERP29	-2.76894471	-0.00541728	-0.83239767
ERP44	-1.19335283	-0.0803077	-0.60276815
ERRFI1	-6.11128029	-1.94191408	-3.27137582
ERVFRD-1	-5.95154136	-0.50649681	-1.45000501
ESAM	-1.39379751	-0.09577593	-0.72407898
ESCO1	-1.04329065	-0.06880564	-0.46946394
ESCO2	-1.92431667	-0.91236318	-1.39450969
ESD	-6.14249584	-2.04984074	-3.11569447
ESF1	-1.90336488	-1.05821018	-1.46995221
ESM1	-3.6452938	-0.00553652	-0.83662864
ESPL1	-5.05381828	-1.71602303	-2.74409542
ESPN	-2.83151604	-0.97808307	-1.58470807
ESPNL	-6.15825721	-2.2096872	-3.65088426
ESR1	-1.15279756	-0.08122705	-0.52625821
ESR2	-6.0961312	-2.18637401	-3.59345425
ESRP1	-1.50146303	-0.63201208	-1.09075283
ESRP2	-2.95866911	-1.30162815	-1.78375541
ESRRA	-1.31618789	-0.09180263	-0.63625523
ESRRB	-1.70296479	-0.55531115	-1.17569182
ESRRG	-2.28675043	-0.90768644	-1.49006995
ESYT1	-3.79031213	-1.49301666	-2.06058378
ESYT2	-2.50583457	-1.36335705	-1.74267318
ESYT3	-6.09833978	-2.12770189	-3.4031439
ETAA1	-2.11846683	-1.03481068	-1.50379866
ETF1	-1.40767356	-0.28996206	-0.88617064
ETFA	-6.1586594	-2.1471889	-3.15005653
ETFB	-5.98856113	-1.45058666	-2.02798554
ETFDH	-6.19396799	-2.22922197	-3.65360336
ETHE1	-6.15897144	-1.82373869	-3.60646627
ETNK1	-1.58691399	-0.33549054	-0.97755769
ETNK2	-6.10109989	-1.85788556	-2.63165487
ETNPPL	-6.17183728	-2.25670643	-3.72621295
ETS1	-1.14849054	-0.08059734	-0.52459484
ETS2	-1.25115117	-0.08802425	-0.57453648
ETV1	-1.6562102	-0.5371177	-1.10826539
ETV2	-6.07679329	-1.66537299	-2.34071023
ETV3	-2.26744322	-0.24439422	-1.19965022
ETV3L	-6.18939943	-2.25328371	-3.56910337
ETV4	-1.70037805	-0.73058117	-1.25407849
ETV5	-1.0398122	-0.0688523	-0.47805316
ETV6	-1.53523721	-0.50009688	-1.06636734
ETV7	-6.08915695	-1.88887919	-2.75235541
EVA1A	-5.3849612	-0.01315242	-0.96608908
EVA1B	-5.75670784	-0.07513488	-1.03175029
EVA1C	-5.50722187	-1.130014	-1.7610646
EVC	-5.94432846	-1.84431243	-2.65193303
EVC2	-5.93497852	-2.00971927	-3.24078755
EVI2A	-6.17717163	-2.04156028	-3.29207237
EVI2B	-4.1322992	-0.15971246	-1.21887002
EVI5	-6.02480087	-1.98071551	-3.00450306
EVI5L	-1.50412659	-0.48961324	-1.03367638
EVL	-1.17109815	-0.08249692	-0.51175497
EVPL	-5.80244686	-1.83396576	-3.06047998
EVPLL	-6.09575573	-1.88679105	-2.90472762
EVX1	-6.12726194	-1.78918387	-2.84021138
EVX2	-2.86077097	-0.00809742	-0.81739823
EWSR1	-2.57108592	-1.3706733	-1.76012014
EXD1	-6.19817972	-2.32640924	-3.66581324
EXD2	-6.10563628	-2.07048222	-2.93764676
EXD3	-6.02311423	-2.06830592	-3.44786734
EXO1	-5.95834109	-2.22343381	-3.2839509
EXO5	-6.1633815	-2.02165253	-3.24166612
EXOC1	-2.12195961	-1.3539937	-1.64198092
EXOC2	-4.78450072	-1.38435712	-2.0505334
EXOC3	-1.19347072	-0.08564841	-0.56981242
EXOC3L1	-6.0555484	-2.3572439	-3.32582405
EXOC3L2	-2.01056372	-0.55528726	-1.29792834
EXOC3L4	-6.08846455	-2.12973484	-3.48667647
EXOC4	-3.34438818	-1.31385119	-1.87428776
EXOC5	-1.14353905	-0.07942463	-0.4991351
EXOC6	-5.57400389	-1.62117373	-2.18535364
EXOC6B	-1.60907544	-0.8673253	-1.25835662
EXOC7	-5.72972345	-1.54114478	-2.24563405
EXOC8	-1.13262095	-0.07917198	-0.55484052
EXOG	-6.21431642	-2.19156832	-3.97122346
EXOSC1	-6.14998646	-2.03858201	-3.11831547
EXOSC10	-3.0152866	-1.39269186	-1.88471135
EXOSC2	-6.10323852	-2.06212881	-3.18722725
EXOSC3	-5.86039799	-1.05895515	-1.74914558
EXOSC4	-5.70660073	-0.68339006	-1.53230262
EXOSC5	-6.13054252	-1.55062796	-2.42886349
EXOSC6	-6.07066766	-0.24114512	-1.19183502
EXOSC7	-6.18067212	-2.19886162	-3.31399872
EXOSC8	-6.20149662	-2.2855067	-3.76537894
EXOSC9	-6.09244187	-1.99266049	-3.69295361
EXPH5	-6.03882655	-2.11283153	-3.42778631
EXT1	-1.348775	-0.27878543	-0.84896779
EXT2	-4.94735458	-1.42762923	-1.98179875
EXTL1	-6.1430186	-2.28183677	-3.47057342
EXTL2	-6.00025436	-1.61390095	-2.20537668
EXTL3	-2.66954377	-1.23259973	-1.69200418
EYA1	-1.59595229	-0.67774279	-1.17261647
EYA2	-1.12126732	-0.07659437	-0.53292129
EYA3	-1.837897	-0.8850707	-1.375496
EYA4	-1.63271312	-0.689539	-1.21149904
EYS	-5.08959027	-1.79024508	-2.61214253
EZH1	-1.52171889	-0.73646259	-1.15978381
EZH2	-0.98186527	-0.06319623	-0.41228533
EZR	-2.15591518	-1.10099917	-1.53381249
F10	-5.88616675	-1.40846152	-2.09130513
F11	-6.02655798	-2.0021677	-3.39968935
F11R	-4.85641236	-0.89347214	-1.6174578
F12	-6.03426792	-2.04305293	-3.57110124
F13A1	-6.02041026	-1.84453743	-2.58092791
F13B	-5.3215206	-1.32964201	-1.90378773
F2	-1.94231738	-1.1172958	-1.50702397
F2R	-5.46080908	-0.60181734	-1.48025514
F2RL1	-6.10091659	-2.00738713	-3.41745709
F2RL2	-6.08145652	-1.46820425	-2.25493859
F2RL3	-6.17710586	-1.94930545	-3.32551814
F3	-4.39310443	-0.44184099	-1.40694844
F5	-1.77448554	-1.25339268	-1.51349638
F7	-3.56536901	-0.83693185	-1.56075286
FA2H	-4.86569805	-1.01896039	-1.67959285
FAAH	-5.94523396	-1.70012702	-2.3320988
FABP1	-6.09282116	-1.11874126	-1.94041411
FABP12	-6.17646385	-0.73755841	-1.65662243
FABP2	-5.94742603	-0.52462171	-1.45397978
FABP3	-5.3307193	-0.00789891	-0.91473911
FABP5	-6.09280873	-1.42792877	-2.04864784
FABP6	-5.48212142	-0.32355429	-1.33057761
FABP7	-6.09063368	-0.63022243	-1.55789123
FABP9	-6.21621583	-2.32924022	-4.43845926
FADD	-6.06814561	-0.24709872	-1.19515196
FADS1	-1.86013995	-0.7706282	-1.31180352
FADS2	-1.18034096	-0.08192889	-0.50292959
FADS3	-4.95138365	-1.09525242	-1.72783125
FADS6	-6.0624987	-1.46978525	-2.06513699
FAF1	-1.22172657	-0.23939954	-0.7344794
FAF2	-1.33148713	-0.27136339	-0.83636343
FAH	-6.05599148	-2.01442125	-3.11380702
FAHD1	-6.24181497	-2.50029988	-4.31763968
FAHD2A	-6.10230951	-1.92386279	-3.09599849
FAHD2B	-5.45853165	-0.85501502	-1.60361579
FAIM	-6.10794932	-1.81038454	-3.22259165
FAIM2	-5.70149882	-1.3291252	-1.9104094
FAIM3	-5.92064779	-1.52176543	-2.09893191
FAM101A	-5.91119105	-0.15905446	-1.06884798
FAM101B	-5.82821627	-0.1107743	-1.02168878
FAM102A	-1.72864358	-0.33864205	-1.07305008
FAM102B	-6.08950981	-1.88615224	-2.79482367
FAM103A1	-5.01834042	-0.24273348	-1.29759219
FAM104A	-4.10549062	-0.00399003	-0.86702792
FAM105A	-6.07821362	-1.75359788	-2.54241013
FAM105B	-2.9356783	-0.38928348	-1.3607652
FAM107A	-6.17958505	-1.66261169	-2.63273757
FAM107B	-4.94408554	-0.75576343	-1.54868445
FAM109A	-5.83671029	-0.10751776	-1.06771763
FAM109B	-6.11145513	-1.66641603	-2.36006431
FAM110A	-5.36195814	-0.00168653	-0.90620181
FAM110B	-1.55382366	-0.08694091	-0.78522151
FAM110C	-6.25711753	-2.49903881	-4.55407504
FAM110D	-5.75524539	-0.08167817	-0.99560896
FAM111A	-6.19548107	-1.54425843	-2.83826396
FAM111B	-6.17433708	-0.31552227	-1.25237747
FAM114A1	-6.18544289	-2.29021047	-3.18923531
FAM114A2	-6.13183457	-2.14291405	-3.04794037
FAM115A	-1.74209689	-0.05964828	-0.77042288
FAM115C	-6.10531188	-1.81665272	-4.51522705
FAM117A	-2.90964905	-1.05526749	-1.62160564
FAM117B	-6.01751416	-1.70604738	-2.42369798
FAM118A	-1.47026196	-0.0949207	-0.6971213
FAM118B	-1.5541145	-0.33078752	-0.97359024
FAM120A	-1.37647991	-0.42996828	-0.93419675
FAM120AOS	-5.9222019	-0.82799941	-1.60453599
FAM120B	-6.10347819	-2.14473839	-3.3106874
FAM122A	-5.10362964	-0.0165337	-0.90589682
FAM124A	-6.11996869	-2.01146352	-3.00981383
FAM124B	-6.05483997	-1.40009236	-2.15450851
