gene,flag
UCN2,wrong_model
VAMP5,wrong_model
WFDC10B,wrong_model
ZBED6CL,wrong_model
ZG16B,wrong_model
ZNF100,wrong_model
ZNF107,wrong_model
ZNF114,wrong_model
ZNF28,wrong_model
ZNF347,wrong_model
ZNF417,wrong_model
ZNF439,wrong_model
ZNF492,wrong_model
ZNF556,wrong_model
ZNF576,wrong_model
ZNF578,wrong_model
ZNF582,wrong_model
ZNF616,wrong_model
ZNF676,wrong_model
ZNF727,wrong_model
ZNF776,wrong_model
ZNF780B,wrong_model
ZNF785,wrong_model
ZNF812,wrong_model
AC002365.1,AN_too_low
AC002472.13,AN_too_low
AC005008.2,AN_too_low
AC005477.1,AN_too_low
AC006372.1,AN_too_low
AC007421.1,AN_too_low
AC007557.1,AN_too_low
AC007952.5,AN_too_low
AC008060.7,AN_too_low
AC008132.13,AN_too_low
AC008267.1,AN_too_low
AC008271.1,AN_too_low
AC008394.1,AN_too_low
AC009365.3,AN_too_low
AC009403.2,AN_too_low
AC011239.1,AN_too_low
AC011294.3,AN_too_low
AC011366.3,AN_too_low
AC012360.1,AN_too_low
AC012493.2,AN_too_low
AC016251.1,AN_too_low
AC016885.1,AN_too_low
AC019294.1,AN_too_low
AC020907.1,AN_too_low
AC021218.2,AN_too_low
AC021860.1,AN_too_low
AC022431.2,AN_too_low
AC023469.1,AN_too_low
AC023590.1,AN_too_low
AC024940.1,AN_too_low
AC025278.1,AN_too_low
AC025287.1,AN_too_low
AC026369.1,AN_too_low
AC062017.1,AN_too_low
AC064874.1,AN_too_low
AC074091.13,AN_too_low
AC074389.6,AN_too_low
AC079354.1,AN_too_low
AC083862.1,AN_too_low
AC090616.2,AN_too_low
AC091801.1,AN_too_low
AC092675.3,AN_too_low
AC092687.4,AN_too_low
AC092964.1,AN_too_low
AC093677.1,AN_too_low
AC093802.1,AN_too_low
AC096582.1,AN_too_low
AC096644.1,AN_too_low
AC097381.1,AN_too_low
AC099552.4,AN_too_low
AC104057.1,AN_too_low
AC104472.1,AN_too_low
AC104794.4,AN_too_low
AC104809.3,AN_too_low
AC106873.4,AN_too_low
AC106876.2,AN_too_low
AC108868.1,AN_too_low
AC109829.1,AN_too_low
AC111200.1,AN_too_low
AC112693.2,AN_too_low
AC112715.2,AN_too_low
AC112721.1,AN_too_low
AC114783.1,AN_too_low
AC117834.1,AN_too_low
AC124890.1,AN_too_low
AC131097.4,AN_too_low
AC131971.1,AN_too_low
AC132216.1,AN_too_low
AC135178.1,AN_too_low
AC138647.1,AN_too_low
AC140481.2,AN_too_low
AC145676.2,AN_too_low
AC174470.1,AN_too_low
AC187652.1,AN_too_low
AC226150.4,AN_too_low
AF131215.5,AN_too_low
AF165138.7,AN_too_low
AL031590.1,AN_too_low
AL033381.1,AN_too_low
AL078585.1,AN_too_low
AL136218.1,AN_too_low
AL136531.1,AN_too_low
AL138815.1,AN_too_low
AL139333.1,AN_too_low
AL158091.1,AN_too_low
AL161915.1,AN_too_low
AL162407.1,AN_too_low
